searchid,src,slotid,mediaid,dsp_show,day,hour,mm
rqHT1BVfUHasTyHXd2Vrm7ayZhFKGdqPdBhz4-H7,ADX,7481000,80000001,2,2020-09-25,12,10
N2I4ZDA2ODU3MjFmNWQ4MzE3NjUwLjU0OTgzNjg1,TouTiao,7930188,80004786,1,2020-09-25,12,10
ZWI3OWIwMDhjNjZmZGMyM2VkYWEwLjQ5MDEwMTMt,TouTiao,7930188,80004786,1,2020-09-25,12,10
MjgxMmFmMGY4MjdjZGQwMmM3ZDYwLjQ2NDEwMTMt,aiclk,null,,2,2020-09-25,12,10
ZDEyMTkzNzM5MjRiMTIyNGMzNDkxNTc4OWNiNWUy,ADX,1028592,,1,2020-09-25,12,10
cLpTIplteamuUvRovC9RwmJzKL1KGd3Vsic83a1P,ADX,9000476,,1,2020-09-25,12,10
phbhvzUcymF8tA0psoh2FaYuEmUKGd3hktHAFM5t,ADX,7174416,80004786,1,2020-09-25,12,10
ZWNmM2U5YmE0N2JkZWExMjcwOGEwLjA0NTEwMTM1,GDT,7930188,80004786,1,2020-09-25,12,10
Fg4UG2xys6z7zeE0uluOozxONW1KGdoE1wUwy3ww,ADX,7680879,80004991,2,2020-09-25,12,10
MGJkYzdiMzVmODU1YTQ2NDIyMGIwLjY4Ny0yMDUt,TouTiao,7268884,80000001,3,2020-09-25,12,10
ns-wK2zO1SylFbDdqFbYkJg07gwKGd3oMjnC4jAs,ADX,7124677,80001098,2,2020-09-25,12,10
jZ-Tqd_WDUJTSs5T2vUZnu18k1-KGdDp5tTAFWL8,ADX,1027423,80000001,2,2020-09-25,12,10
kqbpM7qSA9_LZ4mfkAIAQnvVE6DKGd3a0ZtS_Uvt,ADX,9000157,80004786,2,2020-09-25,12,10
N2YxODk1MWRkMzU5MzYyODhlYTQwLjcwNzE3MzQz,GDT,1027423,80000001,1,2020-09-25,12,10
MWI4OTI1MGI5Mjk2ZDJmOWU2YmUwLjU3NDU1OTYt,GDT,7930188,80004786,1,2020-09-25,12,10
1EKuZKOdlf3Kh9gHJPz14fP6YyoKGdDbFohC4KRU,ADX,7795542,80004786,1,2020-09-25,12,10
ZDViZjVmZTU0ODU1MTU4YTI2N2IwLjMzMC0yMDU5,GDT,9000157,80004786,2,2020-09-25,12,10
F1yD6FmPg6NruWvvy5nIBH1sOD-KGdD1SBUS_KXq,ADX,7049175,80000001,1,2020-09-25,12,10
Y2I4NGZiZTkyMTBlMjQwNmU0YTEwLjcyMTEwMTMt,TouTiao,7124677,80001098,1,2020-09-25,12,10
NDllZDAyNWI0YWFjZjQ5MDM2NzUwLjYzNy0yMDU5,TouTiao,7930188,80004786,1,2020-09-25,12,10
EIBIEyPR_zNXcl0a2n2dHHnYElHKGdoo-t1f3qXc,ADX,1024335,80000001,1,2020-09-25,12,10
MTg5YTUwMDYyYjI2MTI1NmY5MTAwLjI4Mi0yMDQx,GDT,7664563,80000001,1,2020-09-25,12,10
BoCR5UEIg647iOdFlVZ0q20gLwoKGd3gku1wOlMw,ADX,7930188,80004786,2,2020-09-25,12,10
ZmU3OWFmMWMzYjIyZTg1NDkyMzkwLjY2MzQzOTgt,GDT,1029131,80000001,1,2020-09-25,12,10
TMmDf0qKqYb6X9M9BOF0_C14MltKGd3yEXft0xZc,ADX,1027423,80000001,1,2020-09-25,12,10
YjE5OTA0ZmFjNDcwYWZkMWIzN2YwLjA1NzEwMTMt,kuaishou,7239014,80000001,1,2020-09-25,12,10
ODM1MzFjMzZmYTEyMTExMGM5MjcwLjcwNzEwMTMt,TouTiao,7124677,80001098,3,2020-09-25,12,10
lHLUPw8mj7d5NgFHmX-UDkykp5-KGdD4H5z9Oi6B,ADX,7124677,80001098,1,2020-09-25,12,10
BsAMejZdFIB6K3bYZwwKCEpqgjLKGd39xzij4U39,ADX,7049175,80000001,2,2020-09-25,12,10
mHkJKDLc5eUnqGfn2CvLUEnGq31KGdDB0y21cBo1,ADX,7664563,80000001,2,2020-09-25,12,10
ODAwMGU4MzIxYjQxZTg5Nzg2NDUwLjk1NjU1OTY2,TouTiao,7930188,80004786,1,2020-09-25,12,10
MWQxMDUyYWU0OWZlMmUwNzE3MDUwLjMzNTU1OTYx,kuaishou,9000157,80004786,2,2020-09-25,12,10
MjRmZjU3NGVlNDRiOTk0NjA5YzIwLjE0MTEwMTMt,kuaishou,7930188,80004786,3,2020-09-25,12,10
3FHeaJkg9nS6IPQUPhAq5XyIkFwKGdDMIeX2_Pqg,ADX,9000050,80000001,1,2020-09-25,12,10
NPw4ftb9e8nczuDBgYfaSXX4DTFKGdqVPYHf3buQ,ADX,7930188,80004786,2,2020-09-25,12,10
x0HHxhs24M6CGA5aWLlgH1vRzAwKGdD5UdFf3o_5,ADX,7124677,80001098,1,2020-09-25,12,10
VZeM6w3K-sv09chqfp67T4l9wxDKGd30v-N74UhH,ADX,7124677,80001098,1,2020-09-25,12,10
NDc0ZTQwMmE3YTBlMjlhMWY1YmIwLjIxNS0yMDUt,TouTiao,7930188,80004786,1,2020-09-25,12,10
NjhkOWM2YmU5Yjg4Nzk5MmUxNmIwLjE1Ni0xMzIt,TouTiao,9000615,80004947,1,2020-09-25,12,10
23wx_Mb-5KCyZjMsnoi-SV8rhpvKGdD_VHmC442X,ADX,7124677,80001098,1,2020-09-25,12,10
MGNkODA3NWJiODMzNTkzYzFmYTcwLjIzMTU1OTYx,TouTiao,7632373,80001098,1,2020-09-25,12,10
G9N-8rhzXS1hr2henuf8WnkvyrHKGdBj0MAIFu7Q,ADX,1027423,80000001,1,2020-09-25,12,10
ZmU5ZjkzNDA4YzA2Yjc5ZDQzM2UwLjM2MzEwMTMt,TouTiao,7930188,80004786,2,2020-09-25,12,10
MDkOcQ7TXqVju_V5duOA7SxpuzDKGdDBFojkGalt,ADX,9000050,80000001,1,2020-09-25,12,10
NThiNjZjNGQzY2FmYmRjNjI1ZjAwLjY3NDEwMTMt,TouTiao,7930188,80004786,1,2020-09-25,12,10
gU-iBCxlZ2tCQHOeuJOr8H5pCqtKGdDj67Yrz_6d,ADX,1027423,80000001,2,2020-09-25,12,10
X1NVlCGB1aSYrCH193OxG_6aab4KGd3idTCwGWKZ,ADX,7481000,80000001,2,2020-09-25,12,10
Y2E5NGQ4MzhkNzhkNTU1MzkzYzQwLjcwNC0yMDUt,TouTiao,7930188,80004786,1,2020-09-25,12,10
R6CBupRKFcmaQaYWgD9PEyZa8XtKGdqcRzmKltFS,ADX,9000157,80004786,1,2020-09-25,12,10
N2Q5MjEzNmZmNzFmZGMxYWE4OTMwLjAzMS0yMDUx,kuaishou,7481000,80000001,1,2020-09-25,12,10
NmZkMTBmMTYxNGVhYjE3MTY4OWMwLjM3ODEwMTMt,GDT,7124677,80001098,1,2020-09-25,12,10
ZGRiYTllNDIxMTZlNzFiMmYwNTU0MTg5MGNiNWUx,TOUTIAO,1026480,,2,2020-09-25,12,10
lXI7y0fhRBC4TwytXrFw9gc7d0-KGd3fnWms44fk,ADX,7174416,80004786,1,2020-09-25,12,10
MGQ2NTNkNWRkYTc2YmJhNTMxZjEwLjE4NDEwMTMt,GDT,7049175,80000001,1,2020-09-25,12,10
7M5IkRrmolUM1pxXd7EjBRLKTMLKGd3A56Ri4UWL,ADX,7691809,80000001,2,2020-09-25,12,10
GpqB3n-fkc0FcuYw7EZLj0eM2foKGdDmJee-yf07,ADX,1027423,80000001,1,2020-09-25,12,10
PV4KIxulueS6WGibG9U5gkLz8y-KGd3opw0C4QXj,ADX,7174416,80004786,1,2020-09-25,12,10
MTkwZmUyNDIzNmYyNDVhZDBmZDIwLjM0NS0yMDUt,TouTiao,7239014,80000001,1,2020-09-25,12,10
NTM2MTRhYWVjN2M5ZDM3OTAwMjYwLjkxMzEwMTMt,GDT,7248817,80001098,3,2020-09-25,12,10
v1tlxq1j7DNVVxC7KX_j38RcD9HKGdDuhsU63WHZ,ADX,7632373,80001098,2,2020-09-25,12,10
ZTM3ZWZhZjA5MmFmYTczYmU4YWYwLjIyODEwMTMx,TouTiao,7930188,80004786,3,2020-09-25,12,10
OWI2MGVkMzAxMWU1OWEwZDk0Y2QwLjA3MTEwMTMt,GDT,7930188,80004786,2,2020-09-25,12,10
N2M1NTk2MWNmMDBlNTUwYTFhMjgwLjI5NjU1OTY3,GDT,9000157,80004786,2,2020-09-25,12,10
MzhmYzJmNThkZDM2MDMxNjJkNzUwLjY5MS0yMDUz,TouTiao,7939620,80004966,2,2020-09-25,12,10
NjM3ZmI1MTMyNjgwNTM4NDdmMmMwLjE1Ni0yMDUt,GDT,9000157,80004786,1,2020-09-25,12,10
MGQxOTg5OTI3NTcwNjliYTBhMzEwLjQ0OTEwMTMt,GDT,7930188,80004786,2,2020-09-25,12,10
ZGE4ODA5ZThmN2Q2YjRkZDQwOTgwLjQ1MS0yMDUt,kuaishou,1029131,80000001,1,2020-09-25,12,10
Vax6osQ0dSoq5Do5cI1Iz46MjfUKGdqx8foK4Ei1,ADX,7268884,80000001,1,2020-09-25,12,10
NjNhMjNkYWZiMjllOTdjNDdjNjAwLjAwMy0yMDU5,TouTiao,7930188,80004786,3,2020-09-25,12,10
MGYxYWIyNTZjMGQyMGQ0MjE2NmQxMzk4MGMwM2Ux,TOUTIAO,7474635,,3,2020-09-25,12,10
NWEyOGFjNzk4NTllNTYyNDlmMjYwLjU2NS0yMDUt,TouTiao,7124677,80001098,2,2020-09-25,12,10
hyGt-XSFAg7F41PXysFbv0tgGELKGdDUgP8eGiKP,ADX,9000157,80004786,2,2020-09-25,12,10
8mUyE-0wyCOn-bUGboASf-u9l6NKGd3_E4cryBfQ,ADX,1026890,80000001,2,2020-09-25,12,10
MmJlOGNjOGEzNTU4MTZjYjhmMTEwLjM5MS0yMDUt,GDT,1027423,80000001,2,2020-09-25,12,10
9wfs7b_173zwDO8YXypZBZkKQbHKGd3fHdlo3iT5,ADX,9000157,80004786,1,2020-09-25,12,10
YWUzNDY1NDExODg2YzMyMjVmNTkwLjIzMTEwMTMy,kuaishou,9000157,80004786,2,2020-09-25,12,10
ZjA2MTg4N2U2ZDUwMTJhZWU0ZjQwLjM2MC0yMDUx,GDT,1029131,80000001,1,2020-09-25,12,10
MThjNjU2ZWMwM2MxMDgzYjgyMjcwLjA3MzEwMTM0,TouTiao,9000157,80004786,1,2020-09-25,12,10
VozHfKNh3FR_Aq55_6y6XdjdsSwKGd3e3xHf3Bh1,ADX,9000157,80004786,1,2020-09-25,12,10
TRiX8OEsboIcRBTg8lPhcQrhfzOKGdDi3v4f3WgS,ADX,7930188,80004786,2,2020-09-25,12,10
bOdPJbKrtxKDcmGIAQNPD0eI6eLKGd3KccFQG5sZ,ADX,7248817,80001098,2,2020-09-25,12,10
ZjhmZDlmOTk1MWI2NDg3M2JkMWYwLjUzOTEwMTMt,TouTiao,7124677,80001098,3,2020-09-25,12,10
ZWM4OGU5ZGNlOWYxY2EzYzY2YTkwLjMxODEwMTMt,GDT,7174416,80004786,1,2020-09-25,12,10
2sVFjAHRZrZQlg9JzCpKblgjCqHKGdDW77KvizZc,ADX,7632373,80001098,1,2020-09-25,12,10
yHKtPsW3engHVAFun_JeGhKt4wtKGd3wvQrC4ycL,ADX,9000157,80004786,1,2020-09-25,12,10
NTRkN2UwZTZkMmZmOTgzOGMxMTQwLjcxNzEwMTMt,GDT,7174416,80004786,2,2020-09-25,12,10
3N3xy9OAwqozl7GBQwGnf71Ko4UKGd3w0Org9WBA,ADX,7124677,80001098,2,2020-09-25,12,10
ZjNlZGYwMTY4NmRkZWQ2MzgzMWUwLjEwNS0yMDUt,GDT,7049175,80000001,1,2020-09-25,12,10
ZDJlMGIwMGI5ZjVmYmE4ODAwNWQwLjI3OC0yMDUt,TouTiao,9000157,80004786,1,2020-09-25,12,10
bAQDklJDLwQIkZS2nFFqhiKjxMtKGdSztgocKUyo,ADX,7268884,80000001,1,2020-09-25,12,10
NjRkMTMwYjcxNWRlODFiNWVhYTcwLjQ4MjE3MzQx,kuaishou,7930188,80004786,1,2020-09-25,12,10
NGMzMGUxZmQ0NjI5ODdjNWE5NDkwLjM0NzEwMTMx,TouTiao,7124677,80001098,3,2020-09-25,12,10
iToIR08_3BUVFF4ad15LEnhxGB4KGdqv2WUFVSFe,ADX,7333435,80000001,2,2020-09-25,12,10
PJLtqX77uNGiYxCiiubRwGdumQkKGdDSQiVC48g4,ADX,7124677,80001098,2,2020-09-25,12,10
ZTZlNGI5MjcyNzk2NzI2ZGFlZDkwLjMyNTU1OTYt,TouTiao,7930188,80004786,2,2020-09-25,12,10
ckzpowwYhcJZ8gs9_ky0J--ZhN1KGUDJO_eCFxjw,ADX,1027423,80000001,1,2020-09-25,12,10
ZIQlQRMUZVjAJmUGHwnG5G3IeV1KGd3a_Ej1__Tf,ADX,7144841,80000001,1,2020-09-25,12,10
MzYzYmU3NGU4ZmQyNGFkNDViMTcwLjU2ODU1OTYt,GDT,7930188,80004786,1,2020-09-25,12,10
8gYqMal5g059k4sxc1I2dirA_-FKGd3i_yUyaXjC,ADX,7930188,80004786,2,2020-09-25,12,10